Average Residual Moment,Solver,Axis,Subject
17.428163896227527,RRA,MX,subject01
32.11187235751003,RRA,MX,subject02
24.663582401127957,RRA,MX,subject03
24.0558298867044,RRA,MX,subject04
26.486500487196583,RRA,MX,subject08
32.59129033030394,RRA,MX,subject10
27.39117791617578,RRA,MX,subject11
23.89819861551074,RRA,MX,subject17
34.50723517677054,RRA,MX,subject19
24.111025417195847,RRA,MX,subject20
20.855453392421097,RRA,MY,subject01
26.87643017005219,RRA,MY,subject02
22.317740527405345,RRA,MY,subject03
29.939520730656266,RRA,MY,subject04
21.825913734300684,RRA,MY,subject08
24.08464468310476,RRA,MY,subject10
22.754198072496695,RRA,MY,subject11
24.897652316993533,RRA,MY,subject17
24.310998461908707,RRA,MY,subject19
27.877038954592134,RRA,MY,subject20
36.81990522045144,RRA,MZ,subject01
35.33748739143763,RRA,MZ,subject02
39.19272290633893,RRA,MZ,subject03
55.71103965260037,RRA,MZ,subject04
33.33543005631247,RRA,MZ,subject08
53.16696727401097,RRA,MZ,subject10
46.06290963565218,RRA,MZ,subject11
48.14875173161615,RRA,MZ,subject17
37.55149403089592,RRA,MZ,subject19
48.31336976149223,RRA,MZ,subject20
9.436489693584683,RRA3,MX,subject01
13.200283953507077,RRA3,MX,subject02
11.05368056204179,RRA3,MX,subject03
9.948800980240451,RRA3,MX,subject04
9.183312489367653,RRA3,MX,subject08
14.211119987056543,RRA3,MX,subject10
13.028710772913149,RRA3,MX,subject11
14.242586847357076,RRA3,MX,subject17
19.925831059757925,RRA3,MX,subject19
12.832866489402917,RRA3,MX,subject20
16.33594515450768,RRA3,MY,subject01
20.36980291550047,RRA3,MY,subject02
17.532414021963742,RRA3,MY,subject03
23.59762630700484,RRA3,MY,subject04
16.156322443197087,RRA3,MY,subject08
17.193510459953576,RRA3,MY,subject10
16.516564707125415,RRA3,MY,subject11
20.02422606005441,RRA3,MY,subject17
21.251858956844604,RRA3,MY,subject19
19.59478472524391,RRA3,MY,subject20
23.502937781492204,RRA3,MZ,subject01
15.770700464698862,RRA3,MZ,subject02
21.524862531027694,RRA3,MZ,subject03
28.075493225443484,RRA3,MZ,subject04
19.77802550419067,RRA3,MZ,subject08
33.26227966329726,RRA3,MZ,subject10
23.616702713185322,RRA3,MZ,subject11
27.094014094089314,RRA3,MZ,subject17
27.382955976242837,RRA3,MZ,subject19
25.92064748516016,RRA3,MZ,subject20
0.18182026556456374,Moco,MX,subject01
0.236793236238961,Moco,MX,subject02
0.5268286388697075,Moco,MX,subject03
0.3290207020695753,Moco,MX,subject04
0.6687059138179804,Moco,MX,subject08
2.345723967308365,Moco,MX,subject10
0.18211483041544926,Moco,MX,subject11
0.4665630717307918,Moco,MX,subject17
0.7389343312252823,Moco,MX,subject19
0.4845041402616263,Moco,MX,subject20
0.48062405766408806,Moco,MY,subject01
1.4765038938427075,Moco,MY,subject02
1.0215039856127797,Moco,MY,subject03
0.7263135431094141,Moco,MY,subject04
0.6091407757610806,Moco,MY,subject08
3.560831038588707,Moco,MY,subject10
0.8765056513230963,Moco,MY,subject11
1.1598261359721895,Moco,MY,subject17
2.659478429457943,Moco,MY,subject19
0.9908679837764015,Moco,MY,subject20
0.15520075082277818,Moco,MZ,subject01
0.21895417974458242,Moco,MZ,subject02
0.23759279079612192,Moco,MZ,subject03
0.40379427867179496,Moco,MZ,subject04
0.14868686317691282,Moco,MZ,subject08
8.0051025557895,Moco,MZ,subject10
0.08882833682446023,Moco,MZ,subject11
0.6664234243009441,Moco,MZ,subject17
2.4127450150811787,Moco,MZ,subject19
1.1592925146912503,Moco,MZ,subject20
17.55118755283827,AddBiomechanics,MX,subject01
29.60686295636601,AddBiomechanics,MX,subject02
24.965739442706266,AddBiomechanics,MX,subject03
26.978990410099005,AddBiomechanics,MX,subject04
31.174718483465355,AddBiomechanics,MX,subject08
38.29852364039602,AddBiomechanics,MX,subject10
33.07139943069307,AddBiomechanics,MX,subject11
21.619836919117162,AddBiomechanics,MX,subject17
23.128315889452495,AddBiomechanics,MX,subject19
26.50772327269483,AddBiomechanics,MX,subject20
12.208776891122104,AddBiomechanics,MY,subject01
14.71157215156842,AddBiomechanics,MY,subject02
11.243864859933993,AddBiomechanics,MY,subject03
23.93768252475247,AddBiomechanics,MY,subject04
25.3286933481188,AddBiomechanics,MY,subject08
14.907838911897699,AddBiomechanics,MY,subject10
12.302338346666668,AddBiomechanics,MY,subject11
13.704946873768032,AddBiomechanics,MY,subject17
14.176205513399736,AddBiomechanics,MY,subject19
18.15771172934492,AddBiomechanics,MY,subject20
22.608580733993406,AddBiomechanics,MZ,subject01
23.956741926137415,AddBiomechanics,MZ,subject02
28.661653747194734,AddBiomechanics,MZ,subject03
44.28158241023103,AddBiomechanics,MZ,subject04
26.179808896699644,AddBiomechanics,MZ,subject08
32.310925492547874,AddBiomechanics,MZ,subject10
20.64064535214521,AddBiomechanics,MZ,subject11
22.88576493014851,AddBiomechanics,MZ,subject17
26.872280417604937,AddBiomechanics,MZ,subject19
29.952147138591183,AddBiomechanics,MZ,subject20
