Peak Residual Force,Solver,Axis,Subject
34.68300284252723,RRA,FX,subject01
40.664609578817455,RRA,FX,subject02
47.37149511372497,RRA,FX,subject03
48.318283768208914,RRA,FX,subject04
37.76140178741711,RRA,FX,subject08
57.05817254902982,RRA,FX,subject10
51.580975113991364,RRA,FX,subject11
45.679852870908114,RRA,FX,subject17
41.80259628631219,RRA,FX,subject19
43.74290601357408,RRA,FX,subject20
34.67951742344539,RRA,FY,subject01
48.61456470866073,RRA,FY,subject02
38.5672557219873,RRA,FY,subject03
43.06677603877774,RRA,FY,subject04
29.95766448648799,RRA,FY,subject08
74.22340155214091,RRA,FY,subject10
43.27226391785854,RRA,FY,subject11
47.70601778900936,RRA,FY,subject17
40.61241900894036,RRA,FY,subject19
38.432018537910785,RRA,FY,subject20
36.0575259824848,RRA,FZ,subject01
37.51556664163005,RRA,FZ,subject02
35.31319083137013,RRA,FZ,subject03
34.329208180314524,RRA,FZ,subject04
39.418601411604264,RRA,FZ,subject08
57.85449088939901,RRA,FZ,subject10
48.44946478780067,RRA,FZ,subject11
49.97230843238327,RRA,FZ,subject17
51.06347729515343,RRA,FZ,subject19
45.565978234224,RRA,FZ,subject20
23.064146041445422,RRA3,FX,subject01
21.6103150448272,RRA3,FX,subject02
23.81961494874375,RRA3,FX,subject03
28.030377028704553,RRA3,FX,subject04
27.134013457569136,RRA3,FX,subject08
36.78277695367138,RRA3,FX,subject10
26.13379682273982,RRA3,FX,subject11
26.12898681844648,RRA3,FX,subject17
26.528558397209537,RRA3,FX,subject19
28.544982027157385,RRA3,FX,subject20
30.54740563050228,RRA3,FY,subject01
19.31197013953012,RRA3,FY,subject02
20.432531164765276,RRA3,FY,subject03
29.344510667077177,RRA3,FY,subject04
20.051102131980404,RRA3,FY,subject08
38.34244568234616,RRA3,FY,subject10
40.177024420616014,RRA3,FY,subject11
25.028987781611978,RRA3,FY,subject17
25.518197768784912,RRA3,FY,subject19
27.517665436364382,RRA3,FY,subject20
25.111896622548485,RRA3,FZ,subject01
24.42971254079041,RRA3,FZ,subject02
23.558174946053114,RRA3,FZ,subject03
46.83754147862209,RRA3,FZ,subject04
19.048510387985758,RRA3,FZ,subject08
28.48324463503258,RRA3,FZ,subject10
26.075789233780323,RRA3,FZ,subject11
35.7402422328378,RRA3,FZ,subject17
36.43821376483738,RRA3,FZ,subject19
25.880946596240182,RRA3,FZ,subject20
0.052960804164639726,Moco,FX,subject01
0.080307500052761,Moco,FX,subject02
0.06444020828120338,Moco,FX,subject03
0.6092066470318733,Moco,FX,subject04
0.09991012047960006,Moco,FX,subject08
1.5566919289735661,Moco,FX,subject10
0.026271849868209268,Moco,FX,subject11
0.41932313831425266,Moco,FX,subject17
1.9621497745955072,Moco,FX,subject19
0.5342356619155589,Moco,FX,subject20
0.07624026530006171,Moco,FY,subject01
0.06257725725811952,Moco,FY,subject02
0.16210177516276678,Moco,FY,subject03
0.6527078996701924,Moco,FY,subject04
0.21028084579522632,Moco,FY,subject08
9.209424700325775,Moco,FY,subject10
0.06538857307088294,Moco,FY,subject11
1.504176863437034,Moco,FY,subject17
2.510339190589,Moco,FY,subject19
1.0472767180246014,Moco,FY,subject20
0.23841171467248526,Moco,FZ,subject01
0.1556312949646423,Moco,FZ,subject02
0.17957514421576823,Moco,FZ,subject03
0.3340900947073528,Moco,FZ,subject04
0.1381204305807651,Moco,FZ,subject08
1.596202001986791,Moco,FZ,subject10
0.24779092518589893,Moco,FZ,subject11
0.3017186427954573,Moco,FZ,subject17
1.0323594758420391,Moco,FZ,subject19
0.4595554479438057,Moco,FZ,subject20
10.742505533333334,AddBiomechanics,FX,subject01
2.2987787222499615e-10,AddBiomechanics,FX,subject02
2.7380955666666673,AddBiomechanics,FX,subject03
190.10737666666674,AddBiomechanics,FX,subject04
5.323010066666669,AddBiomechanics,FX,subject08
6.440740853333289,AddBiomechanics,FX,subject10
1.2357406166666552e-10,AddBiomechanics,FX,subject11
7.91587175660415,AddBiomechanics,FX,subject17
2.007231579320214,AddBiomechanics,FX,subject19
180.78798835760543,AddBiomechanics,FX,subject20
11.577197999999989,AddBiomechanics,FY,subject01
6.824831970405183e-10,AddBiomechanics,FY,subject02
7.654925333333334,AddBiomechanics,FY,subject03
267.23425333333324,AddBiomechanics,FY,subject04
2.832428166666665,AddBiomechanics,FY,subject08
11.084598533333326,AddBiomechanics,FY,subject10
3.2343547333333366e-10,AddBiomechanics,FY,subject11
45.3787891168534,AddBiomechanics,FY,subject17
3.76241610279776,AddBiomechanics,FY,subject19
276.9625726512722,AddBiomechanics,FY,subject20
18.870644800000022,AddBiomechanics,FZ,subject01
2.183247592115714e-10,AddBiomechanics,FZ,subject02
6.037795833333317,AddBiomechanics,FZ,subject03
172.37648333333334,AddBiomechanics,FZ,subject04
6.0914584000000005,AddBiomechanics,FZ,subject08
5.607032490000031,AddBiomechanics,FZ,subject10
7.357408616666549e-11,AddBiomechanics,FZ,subject11
6.2074943957894915,AddBiomechanics,FZ,subject17
3.8061567628633988,AddBiomechanics,FZ,subject19
34.864205525376434,AddBiomechanics,FZ,subject20
