Time,Solver,subjectId
0.21888888888888888,RRA,subject01
0.2648888888888889,RRA,subject02
0.24072222222222223,RRA,subject03
0.3974444444444444,RRA,subject04
0.3528333333333334,RRA,subject08
0.35272222222222216,RRA,subject10
0.38005555555555554,RRA,subject11
0.46983333333333327,RRA,subject17
0.40633333333333327,RRA,subject19
0.3925,RRA,subject20
0.7725000000000001,RRA3,subject01
1.0683888888888888,RRA3,subject02
1.0047222222222223,RRA3,subject03
1.355,RRA3,subject04
1.2147222222222223,RRA3,subject08
1.3262777777777779,RRA3,subject10
1.3674444444444445,RRA3,subject11
1.4069444444444446,RRA3,subject17
1.3301666666666667,RRA3,subject19
1.2943333333333336,RRA3,subject20
18.595166666666668,Moco,subject01
19.53061111111111,Moco,subject02
24.291111111111107,Moco,subject03
22.703555555555553,Moco,subject04
14.725444444444443,Moco,subject08
19.24727777777778,Moco,subject10
15.245,Moco,subject11
25.194666666666667,Moco,subject17
20.5415,Moco,subject19
27.32994444444444,Moco,subject20
1.0378559509637189,AddBiomechanics,subject01
1.383826169369606,AddBiomechanics,subject02
1.85499112335476,AddBiomechanics,subject03
0.8850140881866998,AddBiomechanics,subject04
1.1465014131607338,AddBiomechanics,subject08
1.3545567679558015,AddBiomechanics,subject10
1.3777243473895584,AddBiomechanics,subject11
1.6902526507092195,AddBiomechanics,subject17
1.5385194294871918,AddBiomechanics,subject19
1.3861999206842204,AddBiomechanics,subject20
